neighbourhood_group,neighbourhood
Casco Antiguo,Alfalfa
Casco Antiguo,Arenal
Casco Antiguo,"Encarnación, Regina"
Casco Antiguo,Feria
Casco Antiguo,Museo
Casco Antiguo,San Bartolomé
Casco Antiguo,San Gil
Casco Antiguo,San Julián
Casco Antiguo,San Lorenzo
Casco Antiguo,Santa Catalina
Casco Antiguo,Santa Cruz
Casco Antiguo,San Vicente
Cerro - Amate,Amate
Cerro - Amate,El Cerro
Cerro - Amate,Juan XXIII
Cerro - Amate,La Plata
Cerro - Amate,Los Pajaros
Cerro - Amate,Palmete
Cerro - Amate,Rochelambert
Cerro - Amate,"Santa Aurelia, Cantábrico, Atlántico, La Romería"
Este - Alcosa - Torreblanca,"Colores, Entreparques"
Este - Alcosa - Torreblanca,no asignado
Este - Alcosa - Torreblanca,"Palacio Congresos, Urbadiez, Entrepuentes, Jardines del Eden"
Este - Alcosa - Torreblanca,Parque Alcosa
Los Remedios,Isla de Garza
Los Remedios,Los Remedios
Los Remedios,Tablada
Macarena,"Begoña, Santa Catalina"
Macarena,Campos de Soria
Macarena,"Cisneo Alto, Santa María de Graccia"
Macarena,"Cruz Roja, Capuchinos"
Macarena,"Doctor Barraquer, G. Renfe, Policlínico"
Macarena,El Carmen
Macarena,El Rocío
Macarena,"El Torrejón, El Cerezo"
Macarena,"Hermandades, La Carrasca"
Macarena,La Barzola
Macarena,"La Palmilla, Doctor Marañón"
Macarena,"La Paz, Las Golondrinas"
Macarena,Las Avenidas
Macarena,"León XIII, Los Naranjos"
Macarena,"Los Príncipes, La Fontanilla"
Macarena,"Macarena 3 Huertas, Macarena 5"
Macarena,Pino Flores
Macarena,Pio XII
Macarena,Polígono Norte
Macarena,Retiro Obrero
Macarena,"Santa Justa y Rufina, Parque Miraflores"
Macarena,"Santa María de Ordas, San Nicolas"
Macarena,Villegas
Macarena - Norte,Aeropuerto Viejo
Macarena - Norte,Bda. Pino Montano
Macarena - Norte,Consolación
Macarena - Norte,El Gordillo
Macarena - Norte,La Bachillera
Macarena - Norte,Las Almenas
Macarena - Norte,"Las Naciones, Parque Atlántico, Las Dalias"
Macarena - Norte,Los arcos
Macarena - Norte,Los Carteros
Macarena - Norte,San Diego
Macarena - Norte,San Jerónimo
Macarena - Norte,San Matías
Macarena - Norte,Valdezorras
Nervión,an Roque
Nervión,Ciudad Jardín
Nervión,Huerta del Pilar
Nervión,La Buhaira
Nervión,La Calzada
Nervión,La Florida
Nervión,Nervión
Nervión,San Bernardo
Palmera - Bellavista,Bami
Palmera - Bellavista,Bda. de Pineda
Palmera - Bellavista,Bellavista
Palmera - Bellavista,"El Cano, Los Bermejales"
Palmera - Bellavista,Heliópolis
Palmera - Bellavista,"Pedro Salvador, Las Palmeritas"
Palmera - Bellavista,"Sector Sur, La Palmera, Reina Mercedes"
San Pablo - Santa Justa,Arbol Gordo
San Pablo - Santa Justa,"Carretera de Carmona, María Auxiliadora, Fontanal"
San Pablo - Santa Justa,Huerta de Santa Teresa
San Pablo - Santa Justa,La Corza
San Pablo - Santa Justa,Las Huertas
San Pablo - Santa Justa,"San Carlos, Tartessos"
San Pablo - Santa Justa,San José Obrero
San Pablo - Santa Justa,San Pablo A y B
San Pablo - Santa Justa,San Pablo C
San Pablo - Santa Justa,San Pablo D y E
San Pablo - Santa Justa,Santa Clara
San Pablo - Santa Justa,Zodiaco
Sur,Avda. de la Paz
Sur,"El Juncal, Híspalis"
Sur,El Plantinar
Sur,El Porvenir
Sur,"Felipe II, Los Diez Mandamientos"
Sur,Giralda Sur
Sur,Huerta de la Salud
Sur,La Oliva
Sur,Las Letanías
Sur,Polígono Sur
Sur,"Prado, Parque María Luisa"
Sur,"Tabladilla, La Estrella"
Sur,"Tiro de Línea, Santa Genoveva"
Triana,Barrio León
Triana,"El Tardón, El Carmen"
Triana,Triana Casco Antiguo
Triana,Triana Este
Triana,Triana Oeste
